book_id,author
1,Suzanne Collins
2,J.K. Rowling
2,Mary GrandPré
3,Stephenie Meyer
4,Harper Lee
5,F. Scott Fitzgerald
6,John Green
7,J.R.R. Tolkien
8,J.D. Salinger
9,Dan Brown
10,Jane Austen
11,Khaled Hosseini
12,Veronica Roth
13,Celâl Üster
13,Erich Fromm
13,George Orwell
14,George Orwell
15,Anne Frank
15,B.M. Mooyaart-Doubleday
15,Eleanor Roosevelt
16,Reg Keeland
16,Stieg Larsson
17,Suzanne Collins
18,J.K. Rowling
18,Mary GrandPré
18,Rufus Beck
19,J.R.R. Tolkien
20,Suzanne Collins
21,J.K. Rowling
21,Mary GrandPré
22,Alice Sebold
23,J.K. Rowling
23,Mary GrandPré
24,J.K. Rowling
24,Mary GrandPré
25,J.K. Rowling
25,Mary GrandPré
26,Dan Brown
27,J.K. Rowling
27,Mary GrandPré
28,William Golding
29,Robert           Jackson
29,William Shakespeare
30,Gillian Flynn
31,Kathryn Stockett
32,John Steinbeck
33,Arthur Golden
34,E.L. James
35,Alan R. Clarke
35,Paulo Coelho
36,Lois Lowry
37,C.S. Lewis
38,Audrey Niffenegger
39,George R.R. Martin
40,Elizabeth Gilbert
41,Rick Riordan
42,Louisa May Alcott
43,Charlotte Brontë
43,Michael Mason
44,Nicholas Sparks
45,Yann Martel
46,Sara Gruen
47,Markus Zusak
48,Ray Bradbury
49,Stephenie Meyer
50,Shel Silverstein
51,Cassandra Clare
52,Stephenie Meyer
53,Christopher Paolini
54,Douglas Adams
55,Aldous Huxley
56,Stephenie Meyer
57,Sue Monk Kidd
58,Guy Cardwell
58,John Seelye
58,Mark Twain
59,E.B. White
59,Garth Williams
59,Rosemary Wells
60,Mark Haddon
61,Paula Hawkins
62,Philip Pullman
63,Emily Brontë
63,Richard J. Dunn
64,Jodi Picoult
65,Kurt Vonnegut Jr.
66,Margaret Mitchell
67,Khaled Hosseini
68,Stephen Chbosky
69,Veronica Roth
70,Orson Scott Card
71,Mary Wollstonecraft Shelley
71,Maurice Hindle
71,Percy Bysshe Shelley
72,Stephen King
73,Stephenie Meyer
74,John Green
75,Helen Fielding
76,Jane Austen
76,Ros Ballaster
76,Tony Tanner
77,Louis Sachar
78,Lauren Weisberger
79,Bernard Knox
79,E.V. Rieu
79,Frédéric Mugler
79,Homer
79,Robert Fagles
80,Antoine de Saint-Exupéry
80,Dom Marcos Barbosa
80,Melina Karakosta
80,Richard Howard
81,Jeannette Walls
82,Jon Krakauer
83,Charles Dickens
83,Hablot Knight Browne
83,Richard Maxwell
84,Michael Crichton
85,Shel Silverstein
86,John Grisham
87,Elie Wiesel
87,Marion Wiesel
88,John Green
89,William Goldman
90,S.E. Hinton
91,James Dashner
92,Stephen J. Dubner
92,Steven D. Levitt
93,Frances Hodgson Burnett
94,Gabriel García Márquez
94,Gregory Rabassa
95,Jeffrey Eugenides
95,Oscar Wilde
96,E.L. James
97,Bram Stoker
97,David J. Skal
97,Nina Auerbach
98,Reg Keeland
98,Stieg Larsson
99,E.L. James
100,Barbara Kingsolver
101,David Sedaris
102,Maurice Sendak
103,Alexandre Dumas
103,Robin Buss
104,Cormac McCarthy
105,Veronica Roth
106,Tina Fey
107,Nicholas Sparks
