book_id,isbn13,original_publication_year,original_title,title,image_url,small_image_url
1,9780439023480,2008,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg
2,9780439554930,1997,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg
3,9780316015840,2005,Twilight,"Twilight (Twilight, #1)",https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg
4,9780061120080,1960,To Kill a Mockingbird,To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg
5,9780743273560,1925,The Great Gatsby,The Great Gatsby,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg
6,9780525478810,2012,The Fault in Our Stars,The Fault in Our Stars,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg
7,9780618260300,1937,The Hobbit or There and Back Again,The Hobbit,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg
8,9780316769170,1951,The Catcher in the Rye,The Catcher in the Rye,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg
9,9781416524790,2000,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg
10,9780679783270,1813,Pride and Prejudice,Pride and Prejudice,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg
11,9781594480000,2003,The Kite Runner ,The Kite Runner,https://images.gr-assets.com/books/1484565687m/77203.jpg,https://images.gr-assets.com/books/1484565687s/77203.jpg
12,9780062024040,2011,Divergent,"Divergent (Divergent, #1)",https://images.gr-assets.com/books/1328559506m/13335037.jpg,https://images.gr-assets.com/books/1328559506s/13335037.jpg
13,9780451524940,1949,Nineteen Eighty-Four,1984,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg
14,9780452284240,1945,Animal Farm: A Fairy Story,Animal Farm,https://images.gr-assets.com/books/1424037542m/7613.jpg,https://images.gr-assets.com/books/1424037542s/7613.jpg
15,9780553296980,1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,The Diary of a Young Girl,https://images.gr-assets.com/books/1358276407m/48855.jpg,https://images.gr-assets.com/books/1358276407s/48855.jpg
16,9780307269750,2005,MÃ¤n som hatar kvinnor,"The Girl with the Dragon Tattoo (Millennium, #1)",https://images.gr-assets.com/books/1327868566m/2429135.jpg,https://images.gr-assets.com/books/1327868566s/2429135.jpg
17,9780439023500,2009,Catching Fire,"Catching Fire (The Hunger Games, #2)",https://images.gr-assets.com/books/1358273780m/6148028.jpg,https://images.gr-assets.com/books/1358273780s/6148028.jpg
18,9780439655480,1999,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://images.gr-assets.com/books/1499277281m/5.jpg,https://images.gr-assets.com/books/1499277281s/5.jpg
19,9780618346260,1954, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339s/34.jpg
20,9780439023510,2010,Mockingjay,"Mockingjay (The Hunger Games, #3)",https://images.gr-assets.com/books/1358275419m/7260188.jpg,https://images.gr-assets.com/books/1358275419s/7260188.jpg
21,9780439358070,2003,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg
22,9780316166680,2002,The Lovely Bones,The Lovely Bones,https://images.gr-assets.com/books/1457810586m/12232938.jpg,https://images.gr-assets.com/books/1457810586s/12232938.jpg
23,9780439064870,1998,Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://images.gr-assets.com/books/1474169725m/15881.jpg,https://images.gr-assets.com/books/1474169725s/15881.jpg
24,9780439139600,2000,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611s/6.jpg
25,9780545010220,2007,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg
26,9780307277670,2003,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg
27,9780439785970,2005,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg
28,9780140283330,1954,Lord of the Flies ,Lord of the Flies,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409s/7624.jpg
29,9780743477120,1595,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg
30,9780297859380,2012,Gone Girl,Gone Girl,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131s/8442457.jpg
31,9780399155340,2009,The Help,The Help,https://images.gr-assets.com/books/1346100365m/4667024.jpg,https://images.gr-assets.com/books/1346100365s/4667024.jpg
32,9780142000670,1937,Of Mice and Men ,Of Mice and Men,https://images.gr-assets.com/books/1437235233m/890.jpg,https://images.gr-assets.com/books/1437235233s/890.jpg
33,9780739326220,1997,Memoirs of a Geisha,Memoirs of a Geisha,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
34,9781612130290,2011,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",https://images.gr-assets.com/books/1385207843m/10818853.jpg,https://images.gr-assets.com/books/1385207843s/10818853.jpg
35,9780061122420,1988,O Alquimista,The Alchemist,https://images.gr-assets.com/books/1483412266m/865.jpg,https://images.gr-assets.com/books/1483412266s/865.jpg
36,9780385732550,1993,The Giver,"The Giver (The Giver, #1)",https://images.gr-assets.com/books/1342493368m/3636.jpg,https://images.gr-assets.com/books/1342493368s/3636.jpg
37,9780060764890,1950,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",https://images.gr-assets.com/books/1353029077m/100915.jpg,https://images.gr-assets.com/books/1353029077s/100915.jpg
38,9780965818670,2003,The Time Traveler's Wife,The Time Traveler's Wife,https://images.gr-assets.com/books/1437728815m/14050.jpg,https://images.gr-assets.com/books/1437728815s/14050.jpg
39,9780553588480,1996,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",https://images.gr-assets.com/books/1436732693m/13496.jpg,https://images.gr-assets.com/books/1436732693s/13496.jpg
40,9780143038410,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",https://images.gr-assets.com/books/1503066414m/19501.jpg,https://images.gr-assets.com/books/1503066414s/19501.jpg
41,9780786838650,2005,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://images.gr-assets.com/books/1400602609m/28187.jpg,https://images.gr-assets.com/books/1400602609s/28187.jpg
42,9780451529300,1868,Little Women,"Little Women (Little Women, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
43,9780142437210,1847,Jane Eyre,Jane Eyre,https://images.gr-assets.com/books/1327867269m/10210.jpg,https://images.gr-assets.com/books/1327867269s/10210.jpg
44,9780553816720,1996,The Notebook,"The Notebook (The Notebook, #1)",https://images.gr-assets.com/books/1385738917m/15931.jpg,https://images.gr-assets.com/books/1385738917s/15931.jpg
45,9780770430080,2001,Life of Pi,Life of Pi,https://images.gr-assets.com/books/1320562005m/4214.jpg,https://images.gr-assets.com/books/1320562005s/4214.jpg
46,9781565125600,2006,Water for Elephants,Water for Elephants,https://images.gr-assets.com/books/1494428973m/43641.jpg,https://images.gr-assets.com/books/1494428973s/43641.jpg
47,9780375831000,2005,The Book Thief,The Book Thief,https://images.gr-assets.com/books/1390053681m/19063.jpg,https://images.gr-assets.com/books/1390053681s/19063.jpg
48,9780307347980,1953,Fahrenheit 451,Fahrenheit 451,https://images.gr-assets.com/books/1351643740m/4381.jpg,https://images.gr-assets.com/books/1351643740s/4381.jpg
49,9780316160190,2006,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",https://images.gr-assets.com/books/1361039440m/49041.jpg,https://images.gr-assets.com/books/1361039440s/49041.jpg
50,9780060513030,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,https://images.gr-assets.com/books/1168052448m/30119.jpg,https://images.gr-assets.com/books/1168052448s/30119.jpg
51,9781416914280,2007,City of Bones,"City of Bones (The Mortal Instruments, #1)",https://images.gr-assets.com/books/1432730315m/256683.jpg,https://images.gr-assets.com/books/1432730315s/256683.jpg
52,9780316160210,2007,Eclipse,"Eclipse (Twilight, #3)",https://images.gr-assets.com/books/1361038355m/428263.jpg,https://images.gr-assets.com/books/1361038355s/428263.jpg
53,9780375826700,2002,Eragon,"Eragon (The Inheritance Cycle, #1)",https://images.gr-assets.com/books/1366212852m/113436.jpg,https://images.gr-assets.com/books/1366212852s/113436.jpg
