book_id,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
1,66715,127936,560092,1481305,2706317
2,75504,101676,455024,1156318,3011543
3,456191,436802,793319,875073,1355439
4,60427,117415,446835,1001952,1714267
5,86236,197621,606158,936012,947718
6,47994,92723,327550,698471,1311871
7,46023,76784,288649,665635,1119718
8,109383,185520,455042,661516,709176
9,77841,145740,458429,716569,680175
10,54700,86485,284852,609755,1155673
11,34288,59980,226062,628174,929591
12,36315,82870,310297,673028,1114304
13,41845,86425,324874,692021,908229
14,66854,135147,433432,698642,648912
15,45225,91270,355756,656870,875372
16,54835,86051,285413,667485,836050
17,10492,48030,262010,687238,980309
18,6716,20413,166129,509447,1266670
19,38031,55862,202332,493922,1042394
20,30144,110498,373060,618271,738775
21,9528,31577,180210,494427,1124806
22,62777,131188,404699,583575,479323
23,8253,42251,242345,548266,1065084
24,6676,20210,151785,494926,1195045
25,9363,22245,113646,383914,1318227
26,71345,126493,340790,539277,479387
27,7308,21516,136333,459028,1161491
28,92779,160295,425648,564916,427846
29,57980,153179,452673,519822,489235
30,38874,80807,280331,616031,610476
31,10235,25117,134887,490754,942552
32,46630,110856,355169,532291,473795
33,23500,59033,258700,517157,559782
34,165455,152293,252185,294976,571909
35,74846,123614,289143,412180,504212
36,26497,59652,225326,448691,585279
37,19309,55542,262038,513366,734629
38,44339,85429,257805,427210,493884
39,19988,28983,114092,404583,874574
40,100373,149549,310212,332191,314272
41,18303,48294,219638,435514,689365
42,31645,70011,250794,426280,535563
43,35132,64274,212294,400214,574221
44,41395,63432,176469,298259,497194
45,39768,74331,218702,384164,360466
46,16705,49832,200154,417328,424820
47,17892,35360,135272,377218,722056
48,28366,64289,238242,426292,419051
49,102837,160660,294207,290612,350684
50,16590,30792,139024,293222,544153
51,34122,65349,203466,356048,582814
52,83094,124293,260763,309358,399134
53,50563,88536,240157,337943,408032
54,21764,41962,145173,299579,498001
55,26367,60328,219895,389379,383166
56,100994,114893,213402,267706,410714
57,17500,45455,185631,347540,341267
58,28467,76630,255722,344356,296316
59,18450,41124,191415,346090,487763
60,21049,58117,218218,355925,262481
61,27773,73897,273817,488447,362551
62,38382,64591,198764,313147,380030
63,46469,84084,215320,309180,346082
64,17547,42763,162573,314003,350994
65,24964,45518,152442,300948,367890
66,19996,33136,116160,234290,493721
67,6509,18015,99030,295817,446694
68,14286,38658,143440,297501,461020
69,10641,44620,182131,339977,369969
70,15330,27612,103439,264207,462829
71,29366,74142,231022,300495,248538
72,18487,28981,123862,277393,382158
73,44215,62501,154906,227180,288758
74,16940,44232,147324,262932,359857
75,28973,59309,198555,254836,212825
76,18430,34699,141987,272512,311754
77,15495,43786,176946,269153,259257
78,24231,58323,192366,226675,178250
79,29703,65629,183082,224120,208223
80,15039,32866,114714,228440,468227
81,7901,18922,85191,227750,298102
82,19229,35567,135199,248287,227095
83,28904,55555,153305,216378,223571
84,15736,34222,138327,231583,230615
85,15345,20408,76071,167542,428921
86,12106,25938,122675,218617,229488
87,7761,18539,90575,230227,360777
88,14105,47183,154479,223895,215609
89,12883,21641,89236,196047,338235
90,10178,34346,134244,227250,274419
91,15291,43370,150488,266698,302109
92,14586,26538,115789,216316,176072
93,8005,25207,129646,243821,285570
94,27340,37646,87675,155809,267197
95,9825,30735,129420,246892,257679
96,39079,55691,109963,140304,265079
97,11756,36719,151396,246043,243825
98,4623,15781,91021,258236,279592
99,37245,58935,114203,150906,262051
100,21699,33702,92590,175725,239071
101,19718,29034,93427,178021,194076
102,15392,27532,93700,167043,332394
103,10381,22482,89980,183142,295235
104,20086,36561,100989,190823,207328
105,31626,78366,176061,192785,184388
106,14842,31761,129390,230080,203187
107,10640,24094,94327,169650,260870
108,30705,56949,156636,166927,146787
109,15225,25914,87461,167385,264147
110,1788,7104,56167,221706,320000
111,19453,47004,145437,183150,115538
112,10346,21880,91517,249474,367916
113,20639,37912,106269,186745,230950
114,11507,30534,107446,194448,240462
115,19329,30503,89740,171099,197327
116,12130,34349,143659,217896,186192
117,17313,34988,119115,209745,268933
118,14802,30197,116748,195930,167566
119,13998,32561,116975,252942,267088
120,14996,42396,152024,177404,149784
121,21091,37205,108664,165477,185553
122,40802,65835,132061,153583,133217
123,5075,20119,111543,190966,160652
124,11020,26079,99831,217995,201402
125,10413,32697,121040,192937,219807
126,13354,22778,74206,154771,260867
127,15111,25871,106453,189120,162511
128,19680,21986,88456,203975,245159
129,5672,15978,78714,191622,222472
130,28645,52583,136217,186747,170136
131,23552,40261,103475,173589,212475
132,12360,33669,107800,155830,165040
133,8864,19531,80256,158725,265976
134,6646,17351,79202,179290,348071
135,1456,4820,36418,149268,335682
136,15795,35314,120396,158451,140552
137,20998,27673,73126,147085,309960
138,34813,80444,182701,165079,96209
139,14920,45434,159227,234792,217849
140,3823,14773,78387,203297,226511
141,4114,10856,49200,173861,291671
142,9248,16886,57825,148052,263882
143,6209,14527,61020,185239,280832
144,10308,12874,47828,144203,313339
145,14380,45006,143182,160819,116346
146,19164,35300,93459,153459,162465
147,15246,35668,105414,179197,235756
148,11525,28287,123463,189656,139246
149,12666,34896,122977,190793,205755
150,9470,19616,67878,146178,206075
151,2967,13884,91127,188988,253546
152,9683,25220,94711,145202,179965
153,6135,20075,92626,192934,274238
